   2967 
     75 IPR001680	WD40 repeat
      3 IPR007275	YTH domain
      3 IPR006630	La-type HTH domain
      3 IPR006575	RWD domain
      3 IPR006026	Peptidase, metallopeptidase
      3 IPR006016	UspA
      3 IPR005375	Ubiquitin-fold modifier 1
      3 IPR005147	tRNA synthetase, B5-domain
      3 IPR005124	Vacuolar (H+)-ATPase G subunit
      3 IPR004328	BRO1 domain
      3 IPR003886	NIDO domain
      3 IPR003652	Ataxin, AXH domain
      3 IPR003644	Na-Ca exchanger/integrin-beta4
      3 IPR003613	U box domain
      3 IPR003410	HYR domain
      3 IPR003347	JmjC domain
      3 IPR003111	Lon, substrate-binding domain
      3 IPR003024	Sodium bicarbonate cotransporter
      3 IPR002475	Bcl2-like
      3 IPR002413	Venom allergen 5-like
      3 IPR002194	Chaperonin TCP-1, conserved site
      3 IPR001976	Ribosomal protein S24e
      3 IPR001932	PPM-type phosphatase domain
      3 IPR001791	Laminin G domain
      3 IPR001711	Phospholipase C, phosphatidylinositol-specific, Y domain
      3 IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
      3 IPR001683	Phox homology
      3 IPR001627	Sema domain
      3 IPR001382	Glycoside hydrolase family 47
      3 IPR001374	R3H domain
      3 IPR001304	C-type lectin-like
      3 IPR001192	Phosphoinositide phospholipase C family
      3 IPR001180	Citron homology (CNH) domain
      3 IPR001132	SMAD domain, Dwarfin-type
      3 IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
      3 IPR000749	ATP:guanido phosphotransferase
      3 IPR000718	Peptidase M13
      3 IPR000648	Oxysterol-binding protein
      3 IPR000626	Ubiquitin-like domain
      3 IPR000608	Ubiquitin-conjugating enzyme E2
      3 IPR000569	HECT domain
      3 IPR000536	Nuclear hormone receptor, ligand-binding domain
      3 IPR000511	Cytochrome c/c1 haem-lyase
      3 IPR000467	G-patch domain
      3 IPR000409	BEACH domain
      3 IPR000218	Ribosomal protein L14P
      3 IPR000010	Cystatin domain
      3 IPR000008	C2 domain
      2 IPR043472	Macro domain-like
      2 IPR043211	TNF receptor-associated factor TRAF
      2 IPR041616	Phenylalanyl tRNA synthetase beta chain, core domain
      2 IPR040659	Phenylalanine--tRNA ligase beta subunit, B1 domain
      2 IPR040055	28S ribosomal protein S10, mitochondrial
      2 IPR039741	UDP-sugar pyrophosphorylase
      2 IPR039655	HMG box-containing protein 1
      2 IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal
      2 IPR039373	Glutamate carboxypeptidase 2-like
      2 IPR039360	Ras GTPase-activating protein
      2 IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain
      2 IPR039091	Aryl hydrocarbon receptor/Aryl hydrocarbon receptor repressor
      2 IPR037232	NADH:ubiquinone oxidoreductase, 30kDa subunit superfamily
      2 IPR037175	Kynurenine formamidase superfamily
      2 IPR037165	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily
      2 IPR036959	Peptidase C12, ubiquitin carboxyl-terminal hydrolase superfamily
      2 IPR036915	Cyclin-like superfamily
      2 IPR036871	PX domain superfamily
      2 IPR036869	Chaperone J-domain superfamily
      2 IPR036867	R3H domain superfamily
      2 IPR036854	Photosystem II protein D1/D2 superfamily
      2 IPR036853	Ribosomal protein L14 superfamily
      2 IPR036747	Histone chaperone ASF1-like superfamily
      2 IPR036723	Alpha-catenin/vinculin-like superfamily
      2 IPR036706	Vitelline membrane outer layer protein I (VOMI) superfamily
      2 IPR036691	Endonuclease/exonuclease/phosphatase superfamily
      2 IPR036643	DNA-directed RNA polymerase, insert domain superfamily
      2 IPR036640	ABC transporter type 1, transmembrane domain superfamily
      2 IPR036621	Anticodon-binding domain superfamily
      2 IPR036578	SMAD MH1 domain superfamily
      2 IPR036517	FF domain superfamily
      2 IPR036509	Peptide methionine sulphoxide reductase MsrA superfamily
      2 IPR036464	Rubisco LSMT, substrate-binding domain superfamily
      2 IPR036457	PPM-type phosphatase domain superfamily
      2 IPR036427	Bromodomain-like superfamily
      2 IPR036409	Class II aldolase/adducin N-terminal domain superfamily
      2 IPR036389	Ribonuclease III, endonuclease domain superfamily
      2 IPR036372	BEACH domain superfamily
      2 IPR036356	Endoplasmic reticulum resident protein 29, C-terminal domain superfamily
      2 IPR036317	Cullin homology domain superfamily
      2 IPR036282	Glutathione S-transferase, C-terminal domain superfamily
      2 IPR036222	Adenylate cyclase-associated CAP, N-terminal  domain superfamily
      2 IPR036189	mRNA decapping protein 2, Box A domain superfamily
      2 IPR036052	Tryptophan synthase beta subunit-like PLP-dependent enzyme
      2 IPR036020	WW domain superfamily
      2 IPR036013	Band 7/SPFH domain superfamily
      2 IPR036005	Creatinase/aminopeptidase-like
      2 IPR035500	Nuclear hormone receptor-like domain superfamily
      2 IPR034102	Small nuclear ribonucleoprotein D1
      2 IPR034015	Aminopeptidase, leukotriene A4 hydrolase-like
      2 IPR033614	C-terminal RASSF family
      2 IPR033348	Aryl hydrocarbon receptor
      2 IPR033116	Serine proteases, trypsin family, serine active site
      2 IPR031365	Protein of unknown function with motif GDWWSH
      2 IPR030550	Torsin-1B
      2 IPR030379	Septin-type guanine nucleotide-binding (G) domain
      2 IPR030224	Sla2 family
      2 IPR029787	Nucleotide cyclase
      2 IPR029731	OKL38 family
      2 IPR029459	Elongation factor Tu-type domain
      2 IPR029309	Calcium-responsive transcription factor
      2 IPR029070	Chitinase insertion domain superfamily
      2 IPR029052	Metallo-dependent phosphatase-like
      2 IPR029048	Heat shock protein 70kD, C-terminal domain superfamily
      2 IPR029020	Ammonium/urea transporter
      2 IPR029006	ADF-H/Gelsolin-like domain superfamily
      2 IPR029000	Cyclophilin-like domain superfamily
      2 IPR028565	Mu homology domain
      2 IPR028507	Thrombospondin-3
      2 IPR028422	GREB1
      2 IPR027963	Meiosis-specific coiled-coil domain-containing protein MEIOC
      2 IPR027817	Costars domain
      2 IPR027640	Kinesin-like protein
      2 IPR027496	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes
      2 IPR027267	AH/BAR domain superfamily
      2 IPR027141	Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3
      2 IPR026705	Hid-1/Ecm30
      2 IPR026611	Serine/threonine-protein kinase MRCK alpha
      2 IPR026156	Folliculin-interacting protein family
      2 IPR026117	Prostate apoptosis response 4
      2 IPR026015	F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily
      2 IPR025483	Lipase, eukaryotic
      2 IPR025260	Domain of unknown function DUF4208
      2 IPR024084	Isopropylmalate dehydrogenase-like domain
      2 IPR024049	Peptide Chain Release Factor eRF1/aRF1, N-terminal
      2 IPR024041	Ammonium transporter AmtB-like domain
      2 IPR023574	Ribosomal protein L4 domain superfamily
      2 IPR023393	START-like domain superfamily
      2 IPR023298	P-type ATPase, transmembrane domain superfamily
      2 IPR023152	Ras GTPase-activating protein, conserved site
      2 IPR023005	Nucleoside diphosphate kinase, active site
      2 IPR021133	HEAT, type 2
      2 IPR021109	Aspartic peptidase domain superfamily
      2 IPR021040	LRRC8, pannexin-like TM region
      2 IPR020894	Cadherin conserved site
      2 IPR020849	Small GTPase superfamily, Ras-type
      2 IPR020825	Phenylalanyl-tRNA synthetase, B3/B4
      2 IPR020726	Apoptosis regulator, Bcl-2, BH2 motif, conserved site
      2 IPR020568	Ribosomal protein S5 domain 2-type fold
      2 IPR019787	Zinc finger, PHD-finger
      2 IPR019748	FERM central domain
      2 IPR019559	Cullin protein, neddylation domain
      2 IPR019366	Clusterin-associated protein-1
      2 IPR019365	TVP18/Calcium channel flower
      2 IPR019357	Short coiled-coil protein
      2 IPR019314	BLOC-1-related complex subunit 6
      2 IPR018967	Iron sulphur-containing domain, CDGSH-type
      2 IPR017978	GPCR family 3, C-terminal
      2 IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily
      2 IPR017937	Thioredoxin, conserved site
      2 IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
      2 IPR017850	Alkaline-phosphatase-like, core domain superfamily
      2 IPR017714	Methylthioribulose-1-phosphate dehydratase
      2 IPR016152	Phosphotransferase/anion transporter
      2 IPR016130	Protein-tyrosine phosphatase, active site
      2 IPR016054	Ly-6 antigen/uPA receptor-like
      2 IPR015947	PUA-like superfamily
      2 IPR015760	Translation initiation factor IF- 2
      2 IPR015433	Phosphatidylinositol kinase
      2 IPR014746	Glutamine synthetase/guanido kinase, catalytic domain
      2 IPR014186	S-formylglutathione hydrolase
      2 IPR014043	Acyl transferase
      2 IPR014001	Helicase superfamily 1/2, ATP-binding domain
      2 IPR013866	Sphingolipid delta4-desaturase, N-terminal
      2 IPR013785	Aldolase-type TIM barrel
      2 IPR013763	Cyclin-like
      2 IPR013256	Chromatin SPT2
      2 IPR013130	Ferric reductase transmembrane component-like domain
      2 IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily
      2 IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal
      2 IPR012337	Ribonuclease H-like superfamily
      2 IPR012317	Poly(ADP-ribose) polymerase, catalytic domain
      2 IPR012227	TNF receptor-associated factor TRAF, metazoa
      2 IPR011876	Isopentenyl-diphosphate delta-isomerase, type 1
      2 IPR011705	BTB/Kelch-associated
      2 IPR011701	Major facilitator superfamily
      2 IPR011679	Endoplasmic reticulum resident protein 29, C-terminal
      2 IPR011527	ABC transporter type 1, transmembrane domain
      2 IPR011524	SARAH domain
      2 IPR011388	Sphingolipid delta4-desaturase
      2 IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type
      2 IPR011249	Metalloenzyme, LuxS/M16 peptidase-like
      2 IPR010920	LSM domain superfamily
      2 IPR010876	C1orf43
      2 IPR010516	Sin3 associated polypeptide p18
      2 IPR010448	Torsin
      2 IPR010326	Exocyst complex component EXOC3/Sec6
      2 IPR010218	NADH dehydrogenase, subunit C
      2 IPR009976	Exocyst complex component Sec10-like
      2 IPR009533	FAM107
      2 IPR009346	GRIM-19
      2 IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal
      2 IPR008974	TRAF-like
      2 IPR008972	Cupredoxin
      2 IPR008952	Tetraspanin, EC2 domain superfamily
      2 IPR008937	Ras-like guanine nucleotide exchange factor
      2 IPR008922	Uncharacterised domain, di-copper centre
      2 IPR008862	T-complex 11
      2 IPR008826	Selenium-binding protein
      2 IPR008814	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1
      2 IPR008564	Golgi apparatus membrane protein TVP23-like
      2 IPR008409	Pre-mRNA-splicing factor SPF27
      2 IPR008274	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding
      2 IPR008197	WAP-type 'four-disulfide core' domain
      2 IPR007811	DNA-directed RNA polymerase III subunit RPC4
      2 IPR007783	Eukaryotic translation initiation factor 3 subunit D
      2 IPR007782	Vitamin K-dependent gamma-carboxylase
      2 IPR007741	Ribosomal protein/NADH dehydrogenase domain
      2 IPR007722	mRNA decapping protein 2, Box A domain
      2 IPR007484	Peptidase M28
      2 IPR007369	Peptidase A22B, signal peptide peptidase
      2 IPR007225	Exocyst complex component EXOC6/Sec15
      2 IPR007109	Brix domain
      2 IPR006973	Pre-mRNA-splicing factor  Cwf15/Cwc15
      2 IPR006822	Coatomer, epsilon subunit
      2 IPR006818	Histone chaperone ASF1-like
      2 IPR006816	ELMO domain
      2 IPR006777	Minor spike protein
      2 IPR006708	Pex19 protein
      2 IPR006693	Partial AB-hydrolase lipase domain
      2 IPR006214	Bax inhibitor 1-related
      2 IPR006111	Archaeal RpoK/eukaryotic RPB6 RNA polymerase subunit
      2 IPR006110	RNA polymerase, subunit omega/K/RPB6
      2 IPR006034	Asparaginase/glutaminase-like
      2 IPR005867	Photosystem II protein D1
      2 IPR005821	Ion transport domain
      2 IPR005788	Disulphide isomerase
      2 IPR005522	Inositol polyphosphate kinase
      2 IPR005515	Vitelline membrane outer layer protein I (VOMI)
      2 IPR005475	Transketolase-like, pyrimidine-binding domain
      2 IPR005011	SNU66/SART1 family
      2 IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
      2 IPR004403	Peptide chain release factor eRF1/aRF1
      2 IPR004241	Autophagy protein Atg8 ubiquitin-like
      2 IPR004226	Tubulin binding cofactor A
      2 IPR004165	Coenzyme A transferase family I
      2 IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
      2 IPR004154	Anticodon-binding
      2 IPR004045	Glutathione S-transferase, N-terminal
      2 IPR003959	ATPase, AAA-type, core
      2 IPR003595	Protein-tyrosine phosphatase, catalytic
      2 IPR003114	Phox-associated domain
      2 IPR003108	GAR domain
      2 IPR003105	SRA-YDG
      2 IPR002913	START domain
      2 IPR002666	Reduced folate carrier
      2 IPR002618	UDPGP family
      2 IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
      2 IPR002524	Cation efflux protein
      2 IPR002423	Chaperonin Cpn60/TCP-1 family
      2 IPR002420	Phosphatidylinositol 3-kinase, C2 domain
      2 IPR002220	DapA-like
      2 IPR002083	MATH/TRAF domain
      2 IPR002077	Voltage-dependent calcium channel, alpha-1 subunit
      2 IPR001985	S-adenosylmethionine decarboxylase
      2 IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
      2 IPR001873	Epithelial sodium channel
      2 IPR001799	Ephrin receptor-binding domain
      2 IPR001734	Sodium/solute symporter
      2 IPR001619	Sec1-like protein
      2 IPR001605	Pleckstrin homology domain, spectrin-type
      2 IPR001503	Glycosyl transferase family 10
      2 IPR001478	PDZ domain
      2 IPR001373	Cullin, N-terminal
      2 IPR001303	Class II aldolase/adducin N-terminal
      2 IPR001263	Phosphoinositide 3-kinase, accessory (PIK) domain
      2 IPR001090	Ephrin receptor ligand binding domain
      2 IPR001024	PLAT/LH2 domain
